#Yan,Jerabkova,Kroupa(2023)
No.,Designation,log10_M_ecl,p_log10_M_ecl,m_log10_M_ecl,log10_m_max,p_log10_m_max,m_log10_m_max,Age[Myr],References
42,MYSO053244,2.322,+0.126,-0.126,1.150,+0.130,-0.130,1-2.5,2
43,No.60,2.352,+0.312,-0.319,1.176,+0.125,-0.176,0-3,WKP13
44,No.61,2.378,+0.304,-0.303,1.041,+0.135,-0.196,1,WKP13
45,MYSO053431,2.455,+0.126,-0.126,1.150,+0.130,-0.130,1-2.5,2
46,No.63,2.467,+0.310,-0.641,1.176,+0.125,-0.176,1,WKP13
47,MYSO050941,2.484,+0.126,-0.126,1.200,+0.130,-0.130,1-2.5,2
48,MYSO051906,2.633,+0.126,-0.126,1.320,+0.130,-0.130,1-2.5,2
49,No.66,2.664,+0.326,-0.308,1.079,+0.125,-0.176,<3,WKP13
50,MYSO053342,2.703,+0.126,-0.126,1.490,+0.130,-0.130,1-2.5,2
51,No.69,2.720,+0.306,-0.309,1.041,+0.135,-0.196,4,WKP13
52,No.70,2.720,+0.307,-0.309,1.439,+0.129,-0.138,3,WKP13
53,No.71,2.729,+0.309,-0.314,1.207,+0.256,-0.362,2.5,WKP13
54,No.72,2.761,+0.303,-0.303,1.540,+0.141,-0.160,2-3,WKP13
55,No.73,2.772,+0.311,-0.315,1.320,+0.142,-0.174,2-3,WKP13
56,No.76,2.825,+0.302,-0.301,1.439,+0.129,-0.138,2,WKP13
57,No.77,2.839,+0.306,-0.307,1.170,+0.292,-0.537,0.5,WKP13
58,No.81,2.908,+0.305,-0.306,1.470,+0.308,-0.169,3,WKP13
59,No.85,3.048,+0.304,-0.305,1.744,+0.095,-0.111,2.3,WKP13
60,No.86,3.070,+0.306,-0.536,1.978,+0.119,-0.165,1-3,WKP13
61,No.87,3.073,+0.484,-0.609,1.041,+0.105,-0.196,1-3,WKP13
62,No.88,3.102,+0.301,-0.301,1.744,+0.095,-0.111,1,WKP13
63,No.89,3.149,+0.327,-0.302,1.477,+0.176,-0.301,<4,WKP13
64,No.90,3.151,+0.327,-0.311,1.400,+0.144,-0.169,1-3,WKP13
65,No.92,3.158,+0.306,-0.307,1.354,+0.151,-0.178,3-4,WKP13
66,No.93,3.162,+0.305,-0.311,1.176,+0.125,-0.176,1-3,WKP13
67,No.94,3.226,+0.307,-0.308,1.354,+0.151,-0.178,4,WKP13
68,No.95,3.232,+0.303,-0.301,1.702,+0.097,-0.123,1-3,WKP13
69,No.96,3.239,+0.304,-0.305,1.398,+0.170,-0.167,2,WKP13
70,No.99,3.327,+0.306,-0.308,1.540,+0.141,-0.160,<1,WKP13
71,No.100,3.352,+0.303,-0.304,1.601,+0.123,-0.154,<1,WKP13
72,No.103,3.364,+0.311,-0.306,1.439,+0.129,-0.138,2,WKP13
73,No.105,3.378,+0.393,-0.975,1.041,+0.105,-0.196,<4,WKP13
74,No.106,3.417,+0.305,-0.307,1.439,+0.129,-0.138,2,WKP13
75,No.107,3.423,+0.304,-0.305,1.595,+0.103,-0.104,2,WKP13
76,No.108,3.503,+0.300,-0.294,1.354,+0.151,-0.178,4,WKP13
77,No.110,3.567,+0.307,-0.305,2.000,+0.176,-0.097,2-4,WKP13
78,No.111,3.574,+0.320,-0.312,1.655,+0.101,-0.137,3,WKP13
79,No.112,3.586,+0.304,-0.303,1.933,0.146+,-0.127,1,WKP13
80,No.114,3.655,+0.309,-0.301,1.654,+0.145,-0.207,<5,WKP13
81,No.115,3.656,+0.305,-0.306,1.572,+0.110,-0.125,2,WKP13
82,No.116,3.656,+0.305,-0.307,1.954,+0.125,-0.176,3-4,WKP13
83,No.117,3.662,+0.305,-0.304,1.623,+0.296,-0.092,1,WKP13
84,No.118,3.670,+0.310,-0.307,1.548,+0.133,-0.168,2.5,WKP13
85,No.119,3.673,+0.307,-0.308,1.540,+0.141,-0.160,1.5,WKP13
86,No.120,3.697,+0.331,-0.317,1.439,+0.129,-0.138,2-4,WKP13
87,No.122,3.726,+0.304,-0.303,1.602,+0.122,-0.155,4.2,WKP13
88,No.125,3.774,+0.307,-0.309,1.744,+0.095,-0.111,1.9,WKP13
89,No.126,3.830,+0.307,-0.305,1.668,+0.218,-0.100,3,WKP13
90,No.127,3.836,+0.447,-0.313,1.702,+0.097,-0.123,<5,WKP13
91,No.128,3.842,+0.302,-0.301,2.079,+0.097,-0.079,1-3,WKP13
92,No.130,3.947,+0.305,-0.304,2.083,+0.093,-0.195,1-3,WKP13
93,No.131,3.985,+0.302,-0.301,1.828,+0.091,-0.104,1.5,WKP13
94,No.132,4.037,+0.306,-0.308,1.756,+0.089,-0.093,2,WKP13
95,No.133,4.078,+0.301,-0.334,1.818,+0.235,-0.055,1,WKP13
96,No.135,4.253,+0.310,-0.301,1.999,+0.177,-0.221,1.7,WKP13
97,No.136,4.403,+0.303,-0.300,1.790,+0.085,-0.083,1.3,WKP13
98,No.137,4.880,+0.309,-0.307,1.964,+0.212,-0.138,2,WKP13
99,No.138,4.888,+0.301,-0.308,2.045,+0.131,-0.200,<4.4,WKP13
100,No.139,5.348,+0.303,-0.303,2.098,+0.078,-0.195,1-2.5,WKP13
